title,link,genre,rating,director,top_actors
219. The Experiment,/title/tt0250258/?ref_=sr_t_219,{Drama|Thriller},R,Oliver Hirschbiegel,{Moritz Bleibtreu|Christian Berkel|Oliver Stokowski}
220. In America,/title/tt0298845/?ref_=sr_t_220,{Drama},PG-13,Jim Sheridan,{Paddy Considine|Samantha Morton|Djimon Hounsou}
221. Down by Law,/title/tt0090967/?ref_=sr_t_221,{Comedy|Crime|Drama},R,Jim Jarmusch,{Tom Waits|John Lurie|Roberto Benigni}
222. Evil,/title/tt0338309/?ref_=sr_t_222,{Drama},Not Rated,Mikael Håfström,{Andreas Wilson|Henrik Lundström|Gustaf Skarsgård}
223. L'Avventura,/title/tt0053619/?ref_=sr_t_223,{Drama|Mystery|Romance},Not Rated,Michelangelo Antonioni,{Gabriele Ferzetti|Monica Vitti|Lea Massari}
224. The Girl Who Leapt Through Time,/title/tt0808506/?ref_=sr_t_224,{Animation|Adventure|Comedy},TV-PG,Mamoru Hosoda,{Riisa Naka|Takuya Ishida|Mitsutaka Itakura}
225. The Purple Rose of Cairo,/title/tt0089853/?ref_=sr_t_225,{Comedy|Fantasy|Romance},PG,Woody Allen,{Mia Farrow|Jeff Daniels|Danny Aiello}
226. Joint Security Area,/title/tt0260991/?ref_=sr_t_226,{Action|Drama|Thriller},Not Rated,Park Chan-wook,{Lee Yeong-ae|Lee Byung-hun|Song Kang-ho}
227. The Salesman,/title/tt5186714/?ref_=sr_t_227,{Drama|Thriller},PG-13,Asghar Farhadi,{Shahab Hosseini|Taraneh Alidoosti|Mina Sadati}
228. The Broken Circle Breakdown,/title/tt2024519/?ref_=sr_t_228,{Drama|Music|Romance},Not Rated,Felix van Groeningen,{Veerle Baetens|Johan Heldenbergh|Nell Cattrysse}
229. After the Wedding,/title/tt0457655/?ref_=sr_t_229,{Drama},R,Susanne Bier,{Mads Mikkelsen|Sidse Babett Knudsen|Rolf Lassgård}
230. The Magdalene Sisters,/title/tt0318411/?ref_=sr_t_230,{Drama},R,Peter Mullan,{Eileen Walsh|Dorothy Duffy|Nora-Jane Noone}
231. Adam's Apples,/title/tt0418455/?ref_=sr_t_231,{Comedy|Crime|Drama},R,Anders Thomas Jensen,{Ulrich Thomsen|Mads Mikkelsen|Nicolas Bro}
232. The Edge of Heaven,/title/tt0880502/?ref_=sr_t_232,{Drama},Not Rated,Fatih Akin,{Baki Davrak|Gürsoy Gemec|Cengiz Daner}
233. The Breadwinner,/title/tt3901826/?ref_=sr_t_233,{Animation|Drama|Family},PG-13,Nora Twomey,{Saara Chaudry|Soma Chhaya|Noorin Gulamgaus}
234. The Past,/title/tt2404461/?ref_=sr_t_234,{Drama|Mystery},PG-13,Asghar Farhadi,{Bérénice Bejo|Tahar Rahim|Ali Mosaffa}
235. Jules and Jim,/title/tt0055032/?ref_=sr_t_235,{Drama|Romance},Not Rated,François Truffaut,{Jeanne Moreau|Oskar Werner|Henri Serre}
236. Fireworks,/title/tt0119250/?ref_=sr_t_236,{Crime|Drama|Romance},1997,Takeshi Kitano,{Takeshi Kitano|Kayoko Kishimoto|Ren Ôsugi}
237. Zelig,/title/tt0086637/?ref_=sr_t_237,{Comedy},PG,Woody Allen,{Woody Allen|Mia Farrow|Patrick Horgan}
239. The Batman,/title/tt1877830/?ref_=sr_t_239,{Action|Crime|Drama},PG-13,Matt Reeves,{Robert Pattinson|Zoë Kravitz|Jeffrey Wright}
240. The Gentlemen,/title/tt8367814/?ref_=sr_t_240,{Action|Crime},R,Guy Ritchie,{Matthew McConaughey|Charlie Hunnam|Michelle Dockery}
241. Get Out,/title/tt5052448/?ref_=sr_t_241,{Horror|Mystery|Thriller},R,Jordan Peele,{Daniel Kaluuya|Allison Williams|Bradley Whitford}
242. The Sandlot,/title/tt0108037/?ref_=sr_t_242,{Comedy|Drama|Family},PG,David Mickey Evans,{Tom Guiry|Mike Vitar|Art LaFleur}
243. Tombstone,/title/tt0108358/?ref_=sr_t_243,{Biography|Drama|History},R,George P. Cosmatos,{Kurt Russell|Val Kilmer|Sam Elliott}
244. Pride & Prejudice,/title/tt0414387/?ref_=sr_t_244,{Drama|Romance},PG,Joe Wright,{Keira Knightley|Matthew Macfadyen|Brenda Blethyn}
245. The Girl with the Dragon Tattoo,/title/tt1568346/?ref_=sr_t_245,{Crime|Drama|Mystery},R,David Fincher,{Daniel Craig|Rooney Mara|Christopher Plummer}
246. Ghostbusters,/title/tt0087332/?ref_=sr_t_246,{Action|Comedy|Fantasy},PG,Ivan Reitman,{Bill Murray|Dan Aykroyd|Sigourney Weaver}
247. The Breakfast Club,/title/tt0088847/?ref_=sr_t_247,{Comedy|Drama},R,John Hughes,{Emilio Estevez|Judd Nelson|Molly Ringwald}
248. Everything Everywhere All at Once,/title/tt6710474/?ref_=sr_t_248,{Action|Adventure|Comedy},R,Daniel Kwan,{Michelle Yeoh|Stephanie Hsu|Jamie Lee Curtis}
249. Back to the Future Part II,/title/tt0096874/?ref_=sr_t_249,{Adventure|Comedy|Sci-Fi},PG,Robert Zemeckis,{Michael J. Fox|Christopher Lloyd|Lea Thompson}
250. Past Lives,/title/tt13238346/?ref_=sr_t_250,{Drama|Romance},PG-13,Celine Song,{Greta Lee|Teo Yoo|John Magaro}
251. The Notebook,/title/tt0332280/?ref_=sr_t_251,{Drama|Romance},PG-13,Nick Cassavetes,{Gena Rowlands|James Garner|Rachel McAdams}
252. Hidden Figures,/title/tt4846340/?ref_=sr_t_252,{Biography|Drama|History},PG,Theodore Melfi,{Taraji P. Henson|Octavia Spencer|Janelle Monáe}
253. About Time,/title/tt2194499/?ref_=sr_t_253,{Comedy|Drama|Fantasy},R,Richard Curtis,{Domhnall Gleeson|Rachel McAdams|Bill Nighy}
254. American Gangster,/title/tt0765429/?ref_=sr_t_254,{Biography|Crime|Drama},R,Ridley Scott,{Denzel Washington|Russell Crowe|Chiwetel Ejiofor}
255. Mary Poppins,/title/tt0058331/?ref_=sr_t_255,{Comedy|Family|Fantasy},G,Robert Stevenson,{Julie Andrews|Dick Van Dyke|David Tomlinson}
256. The Hobbit: An Unexpected Journey,/title/tt0903624/?ref_=sr_t_256,{Adventure|Fantasy},PG-13,Peter Jackson,{Martin Freeman|Ian McKellen|Richard Armitage}
257. Apocalypto,/title/tt0472043/?ref_=sr_t_257,{Action|Adventure|Drama},R,Mel Gibson,{Gerardo Taracena|Raoul Max Trujillo|Dalia Hernández}
258. Predator,/title/tt0093773/?ref_=sr_t_258,{Action|Adventure|Horror},R,John McTiernan,{Arnold Schwarzenegger|Carl Weathers|Kevin Peter Hall}
259. Little Women,/title/tt3281548/?ref_=sr_t_259,{Drama|Romance},PG,Greta Gerwig,{Saoirse Ronan|Emma Watson|Florence Pugh}
260. Willy Wonka & the Chocolate Factory,/title/tt0067992/?ref_=sr_t_260,{Adventure|Comedy|Family},G,Mel Stuart,{Gene Wilder|Jack Albertson|Peter Ostrum}
261. Star Wars: Episode VII - The Force Awakens,/title/tt2488496/?ref_=sr_t_261,{Action|Adventure|Sci-Fi},PG-13,J.J. Abrams,{Daisy Ridley|John Boyega|Oscar Isaac}
262. Call Me by Your Name,/title/tt5726616/?ref_=sr_t_262,{Drama|Romance},R,Luca Guadagnino,{Timothée Chalamet|Armie Hammer|Michael Stuhlbarg}
263. Captain America: Civil War,/title/tt3498820/?ref_=sr_t_263,{Action|Sci-Fi},PG-13,Anthony Russo,{Chris Evans|Robert Downey Jr.|Scarlett Johansson}
264. Ferris Bueller's Day Off,/title/tt0091042/?ref_=sr_t_264,{Comedy},PG-13,John Hughes,{Matthew Broderick|Alan Ruck|Mia Sara}
265. Puss in Boots: The Last Wish,/title/tt3915174/?ref_=sr_t_265,{Animation|Action|Adventure},PG,Joel Crawford,{Antonio Banderas|Salma Hayek|Harvey Guillén}
266. A Bronx Tale,/title/tt0106489/?ref_=sr_t_266,{Crime|Drama},R,Robert De Niro,{Robert De Niro|Chazz Palminteri|Lillo Brancato}
267. Dunkirk,/title/tt5013056/?ref_=sr_t_267,{Action|Drama|History},PG-13,Christopher Nolan,{Fionn Whitehead|Barry Keoghan|Mark Rylance}
268. Drive,/title/tt0780504/?ref_=sr_t_268,{Action|Drama},R,Nicolas Winding Refn,{Ryan Gosling|Carey Mulligan|Bryan Cranston}
269. The Bourne Identity,/title/tt0258463/?ref_=sr_t_269,{Action|Mystery|Thriller},PG-13,Doug Liman,{Franka Potente|Matt Damon|Chris Cooper}
